team,p_r32,p_r16,p_qf,p_sf,p_final,p_champion
Brazil,1.0,0.80252,0.67092,0.46051,0.29025,0.18583
Argentina,1.0,0.9027,0.72063,0.48422,0.27813,0.16344
Spain,1.0,0.80382,0.51423,0.35358,0.22254,0.12376
France,1.0,0.76919,0.45279,0.29119,0.15831,0.07872
England,1.0,0.85347,0.57186,0.28874,0.14958,0.07681
Germany,1.0,0.82322,0.439,0.27573,0.14025,0.06409
Colombia,1.0,0.7477,0.48474,0.24925,0.12343,0.06173
Belgium,1.0,0.7056,0.52276,0.24589,0.12776,0.05894
Portugal,1.0,0.646,0.33245,0.19251,0.10012,0.04743
Netherlands,1.0,0.60613,0.44375,0.21024,0.09875,0.04296
Switzerland,1.0,0.61789,0.2694,0.1027,0.03841,0.01346
Morocco,1.0,0.38704,0.23184,0.08593,0.03155,0.01066
Croatia,1.0,0.38312,0.14691,0.06884,0.0286,0.0102
Mexico,1.0,0.56548,0.21468,0.07171,0.02555,0.0089
Ecuador,1.0,0.43452,0.17318,0.06096,0.02287,0.0082
Sweden,1.0,0.51125,0.19712,0.06653,0.02168,0.0071
United States,1.0,0.58454,0.1836,0.05992,0.02223,0.00678
Senegal,1.0,0.3002,0.16066,0.04768,0.01584,0.00415
Japan,1.0,0.20431,0.10972,0.04169,0.01345,0.00394
Norway,1.0,0.51419,0.12136,0.04385,0.01337,0.00368
Ivory Coast,1.0,0.48581,0.11188,0.03831,0.01118,0.00323
Austria,1.0,0.31864,0.11237,0.03732,0.01235,0.00316
Egypt,1.0,0.49436,0.12356,0.04297,0.01123,0.003
Australia,1.0,0.36419,0.0922,0.03225,0.00891,0.00239
Paraguay,1.0,0.36646,0.09442,0.03358,0.0087,0.00234
Algeria,1.0,0.293,0.086,0.02158,0.00587,0.00137
Ghana,1.0,0.22318,0.08199,0.01999,0.00456,0.00102
Canada,1.0,0.47081,0.11915,0.02517,0.00512,0.00094
South Africa,1.0,0.40005,0.10135,0.02043,0.00449,0.00082
Bosnia and Herzegovina,1.0,0.17678,0.04221,0.01287,0.00266,0.00061
Cape Verde,1.0,0.0973,0.03299,0.00713,0.00096,0.00017
DR Congo,1.0,0.14653,0.04028,0.00673,0.0013,0.00017
Curaçao,0.0,0.0,0.0,0.0,0.0,0.0
Czech Republic,0.0,0.0,0.0,0.0,0.0,0.0
Haiti,0.0,0.0,0.0,0.0,0.0,0.0
Iran,0.0,0.0,0.0,0.0,0.0,0.0
Iraq,0.0,0.0,0.0,0.0,0.0,0.0
Jordan,0.0,0.0,0.0,0.0,0.0,0.0
New Zealand,0.0,0.0,0.0,0.0,0.0,0.0
Panama,0.0,0.0,0.0,0.0,0.0,0.0
Qatar,0.0,0.0,0.0,0.0,0.0,0.0
Saudi Arabia,0.0,0.0,0.0,0.0,0.0,0.0
Scotland,0.0,0.0,0.0,0.0,0.0,0.0
South Korea,0.0,0.0,0.0,0.0,0.0,0.0
Tunisia,0.0,0.0,0.0,0.0,0.0,0.0
Turkey,0.0,0.0,0.0,0.0,0.0,0.0
Uruguay,0.0,0.0,0.0,0.0,0.0,0.0
Uzbekistan,0.0,0.0,0.0,0.0,0.0,0.0
