team,p_r32,p_r16,p_qf,p_sf,p_final,p_champion
Brazil,1.0,0.75259,0.58002,0.40476,0.26317,0.17245
Argentina,0.9993,0.67528,0.51202,0.34536,0.20552,0.12418
Spain,0.94283,0.64319,0.45063,0.30919,0.19373,0.11325
France,0.99839,0.72696,0.43186,0.27825,0.15594,0.08036
Germany,0.99911,0.76298,0.43715,0.27464,0.14856,0.07211
England,0.99758,0.71322,0.47687,0.25439,0.13635,0.07137
Colombia,0.99191,0.68883,0.44695,0.23792,0.12377,0.06347
Belgium,0.95666,0.69851,0.45469,0.23985,0.12756,0.06121
Portugal,0.88293,0.59168,0.35329,0.19878,0.10518,0.05237
Netherlands,0.8772,0.4491,0.29146,0.15207,0.07614,0.03453
Uruguay,0.82746,0.42529,0.2525,0.13742,0.06563,0.02946
Switzerland,1.0,0.62261,0.28315,0.11362,0.04502,0.01667
Morocco,1.0,0.46462,0.25663,0.10348,0.03949,0.01309
Croatia,0.77431,0.36206,0.17043,0.07845,0.03404,0.01305
Ecuador,0.84573,0.40324,0.18247,0.07177,0.02876,0.01055
United States,1.0,0.5993,0.22044,0.08118,0.03134,0.00958
Mexico,1.0,0.6132,0.2328,0.0785,0.02736,0.00933
Sweden,0.96908,0.39552,0.20453,0.07821,0.02835,0.00892
Austria,0.95489,0.34693,0.15315,0.06167,0.02156,0.00631
Norway,0.97375,0.44479,0.14701,0.05399,0.01734,0.00501
Ivory Coast,0.98579,0.44033,0.13325,0.04736,0.0139,0.00401
Senegal,0.64296,0.28184,0.1054,0.03602,0.01215,0.00357
Japan,0.7146,0.25366,0.11187,0.0396,0.01264,0.00343
Iran,0.57155,0.2874,0.10468,0.03575,0.01128,0.00341
Egypt,0.79907,0.37681,0.12175,0.0382,0.01092,0.00275
Paraguay,0.75456,0.28525,0.0869,0.03154,0.00917,0.00257
Australia,0.87377,0.35566,0.0916,0.03164,0.0087,0.0024
South Korea,0.87634,0.3603,0.12102,0.03387,0.00906,0.00214
Algeria,0.54899,0.17889,0.06587,0.01988,0.00569,0.00154
Canada,1.0,0.46123,0.12599,0.02923,0.00645,0.00133
Scotland,0.6767,0.1979,0.06562,0.01986,0.00531,0.00124
Ghana,0.81288,0.23344,0.07555,0.02041,0.00486,0.00108
Czech Republic,0.2536,0.10552,0.04041,0.01309,0.00392,0.00102
Bosnia and Herzegovina,0.54183,0.15973,0.04732,0.01348,0.00332,0.00067
Turkey,0.12305,0.03959,0.01566,0.0065,0.00206,0.00051
Tunisia,0.18172,0.05156,0.01671,0.00437,0.00109,0.00034
South Africa,0.27631,0.098,0.02839,0.00669,0.00151,0.0003
DR Congo,0.46874,0.10823,0.02672,0.00519,0.00095,0.00019
Cape Verde,0.47085,0.08146,0.02225,0.00428,0.00067,0.00008
Saudi Arabia,0.40492,0.06693,0.01652,0.00294,0.00046,0.00004
Jordan,0.10571,0.01886,0.00378,0.00041,0.00014,0.00003
Panama,0.12657,0.02452,0.00663,0.00133,0.0002,0.00003
Uzbekistan,0.26745,0.05927,0.01413,0.00268,0.00051,0.00003
New Zealand,0.21228,0.04556,0.00559,0.00094,0.00011,0.00001
Qatar,0.20287,0.02965,0.00478,0.00072,0.00006,0.00001
Curaçao,0.01785,0.00087,0.00007,0.0,0.0,0.0
Haiti,0.01346,0.00123,0.00016,0.00002,0.0,0.0
Iraq,0.08445,0.01641,0.00333,0.0005,0.00006,0.0
