team,p_r32,p_r16,p_qf,p_sf,p_final,p_champion
Argentina,1.0,0.90338,0.73021,0.47951,0.32519,0.17865
Brazil,1.0,0.67028,0.59352,0.38102,0.24062,0.15506
Spain,1.0,0.78733,0.50439,0.34765,0.19425,0.11979
England,1.0,0.8568,0.58065,0.40566,0.21336,0.10206
Colombia,1.0,0.77576,0.50272,0.25678,0.15384,0.0719
France,1.0,0.76733,0.45143,0.23205,0.12651,0.07023
Belgium,1.0,0.71204,0.54815,0.25766,0.11573,0.0598
Germany,1.0,0.81997,0.43671,0.20915,0.10698,0.05669
Portugal,1.0,0.61924,0.28746,0.17334,0.07955,0.0425
Netherlands,1.0,0.32972,0.26553,0.12345,0.05838,0.02828
Morocco,1.0,0.53977,0.3072,0.13054,0.04828,0.01574
Switzerland,1.0,0.54417,0.24245,0.09527,0.04654,0.01552
Ecuador,1.0,0.4422,0.17516,0.09781,0.03634,0.012
Mexico,1.0,0.5578,0.20364,0.10447,0.03495,0.01033
Croatia,1.0,0.38076,0.1363,0.06567,0.0229,0.00936
Japan,1.0,0.46023,0.24412,0.0927,0.0298,0.00769
Sweden,1.0,0.45583,0.18034,0.06291,0.02719,0.00769
Norway,1.0,0.52928,0.24336,0.08724,0.02673,0.00679
United States,1.0,0.60871,0.18326,0.05817,0.01765,0.00636
Ivory Coast,1.0,0.47072,0.20532,0.06939,0.01976,0.00462
Senegal,1.0,0.28796,0.15686,0.04416,0.01202,0.00382
Egypt,1.0,0.49303,0.11821,0.03907,0.01361,0.00319
Australia,1.0,0.50697,0.11843,0.03999,0.01477,0.00317
Austria,1.0,0.21267,0.07185,0.0291,0.00786,0.00279
Paraguay,1.0,0.23267,0.0675,0.01795,0.00464,0.0013
Algeria,1.0,0.39129,0.11173,0.02425,0.00533,0.00128
Ghana,1.0,0.22424,0.07449,0.01955,0.00623,0.00113
Canada,1.0,0.51407,0.06933,0.01259,0.00253,0.00065
South Africa,1.0,0.48593,0.07162,0.01406,0.00296,0.00065
Bosnia and Herzegovina,1.0,0.18003,0.04436,0.00973,0.00209,0.00061
DR Congo,1.0,0.1432,0.04055,0.01219,0.00213,0.00027
Cape Verde,1.0,0.09662,0.03315,0.00692,0.00128,0.00008
Curaçao,0.0,0.0,0.0,0.0,0.0,0.0
Czech Republic,0.0,0.0,0.0,0.0,0.0,0.0
Haiti,0.0,0.0,0.0,0.0,0.0,0.0
Iran,0.0,0.0,0.0,0.0,0.0,0.0
Iraq,0.0,0.0,0.0,0.0,0.0,0.0
Jordan,0.0,0.0,0.0,0.0,0.0,0.0
New Zealand,0.0,0.0,0.0,0.0,0.0,0.0
Panama,0.0,0.0,0.0,0.0,0.0,0.0
Qatar,0.0,0.0,0.0,0.0,0.0,0.0
Saudi Arabia,0.0,0.0,0.0,0.0,0.0,0.0
Scotland,0.0,0.0,0.0,0.0,0.0,0.0
South Korea,0.0,0.0,0.0,0.0,0.0,0.0
Tunisia,0.0,0.0,0.0,0.0,0.0,0.0
Turkey,0.0,0.0,0.0,0.0,0.0,0.0
Uruguay,0.0,0.0,0.0,0.0,0.0,0.0
Uzbekistan,0.0,0.0,0.0,0.0,0.0,0.0
