team,p_r32,p_r16,p_qf,p_sf,p_final,p_champion
Brazil,1.0,0.8072,0.67777,0.47153,0.29805,0.19351
Argentina,1.0,0.90838,0.70696,0.47677,0.27315,0.16534
Spain,1.0,0.80689,0.51859,0.36873,0.2331,0.12691
France,1.0,0.76232,0.44449,0.28622,0.15518,0.0747
England,1.0,0.83256,0.54676,0.27541,0.13937,0.07298
Colombia,1.0,0.7567,0.5018,0.2554,0.12892,0.06468
Germany,1.0,0.82174,0.44009,0.27376,0.14015,0.06359
Belgium,1.0,0.71863,0.48262,0.23349,0.11973,0.05453
Portugal,1.0,0.63596,0.32813,0.19046,0.09829,0.04558
Netherlands,1.0,0.60902,0.4477,0.21527,0.10176,0.04242
Switzerland,1.0,0.62322,0.26708,0.09751,0.03693,0.01242
Morocco,1.0,0.38373,0.22836,0.08515,0.03248,0.01108
Croatia,1.0,0.40646,0.16021,0.07617,0.03079,0.01041
Ecuador,1.0,0.43587,0.17953,0.06418,0.02372,0.00849
Mexico,1.0,0.56413,0.21513,0.07119,0.02421,0.00814
United States,1.0,0.58301,0.19681,0.067,0.0248,0.00746
Sweden,1.0,0.50439,0.19004,0.06032,0.0189,0.0061
Senegal,0.87893,0.31376,0.16687,0.04674,0.01621,0.00459
Japan,1.0,0.20005,0.10855,0.0408,0.013,0.00406
Austria,1.0,0.30885,0.11881,0.03986,0.01353,0.00381
Norway,1.0,0.51427,0.1197,0.04094,0.01195,0.0034
Egypt,1.0,0.47072,0.13479,0.04229,0.01118,0.00277
Ivory Coast,1.0,0.48573,0.10739,0.03599,0.00972,0.00272
Paraguay,1.0,0.33542,0.09151,0.03222,0.0089,0.00234
Australia,1.0,0.35838,0.09358,0.03193,0.00829,0.00213
Algeria,1.0,0.28283,0.09333,0.02326,0.00623,0.00134
Canada,1.0,0.47596,0.12155,0.02536,0.00529,0.00114
Ghana,1.0,0.21853,0.07997,0.01842,0.00458,0.00099
South Africa,1.0,0.39732,0.10006,0.02065,0.00472,0.00088
Iran,0.12107,0.05714,0.02091,0.0065,0.00196,0.00067
Bosnia and Herzegovina,1.0,0.17942,0.04503,0.01396,0.00289,0.0006
DR Congo,1.0,0.14979,0.03911,0.00687,0.00109,0.00012
Cape Verde,1.0,0.09162,0.02677,0.00565,0.00093,0.0001
Curaçao,0.0,0.0,0.0,0.0,0.0,0.0
Czech Republic,0.0,0.0,0.0,0.0,0.0,0.0
Haiti,0.0,0.0,0.0,0.0,0.0,0.0
Iraq,0.0,0.0,0.0,0.0,0.0,0.0
Jordan,0.0,0.0,0.0,0.0,0.0,0.0
New Zealand,0.0,0.0,0.0,0.0,0.0,0.0
Panama,0.0,0.0,0.0,0.0,0.0,0.0
Qatar,0.0,0.0,0.0,0.0,0.0,0.0
Saudi Arabia,0.0,0.0,0.0,0.0,0.0,0.0
Scotland,0.0,0.0,0.0,0.0,0.0,0.0
South Korea,0.0,0.0,0.0,0.0,0.0,0.0
Tunisia,0.0,0.0,0.0,0.0,0.0,0.0
Turkey,0.0,0.0,0.0,0.0,0.0,0.0
Uruguay,0.0,0.0,0.0,0.0,0.0,0.0
Uzbekistan,0.0,0.0,0.0,0.0,0.0,0.0
