team,p_r32,p_r16,p_qf,p_sf,p_final,p_champion
Brazil,0.99025,0.74846,0.58393,0.40943,0.26513,0.17494
Argentina,0.99924,0.68023,0.51517,0.35076,0.21121,0.12836
Spain,0.93973,0.64083,0.44758,0.31061,0.19512,0.11322
France,0.9977,0.72302,0.431,0.27835,0.15503,0.07925
Germany,0.99884,0.74889,0.42912,0.27093,0.14658,0.07158
England,0.99748,0.71212,0.48258,0.2552,0.13388,0.07064
Colombia,0.9906,0.68946,0.45143,0.24287,0.12687,0.06488
Belgium,0.9547,0.70047,0.45389,0.23798,0.12786,0.06186
Portugal,0.87912,0.58898,0.35179,0.19598,0.10418,0.05095
Netherlands,0.87693,0.47231,0.31179,0.16102,0.07935,0.03535
Uruguay,0.829,0.42921,0.25349,0.13936,0.06771,0.03031
Croatia,0.77087,0.36187,0.1702,0.08011,0.03443,0.01288
Switzerland,0.81894,0.48133,0.21653,0.08706,0.03408,0.0122
Morocco,0.88395,0.3903,0.2038,0.08319,0.03124,0.01033
Ecuador,0.83195,0.41369,0.1874,0.0759,0.02857,0.01027
Sweden,0.96721,0.42033,0.22162,0.0838,0.03034,0.00984
Mexico,0.98195,0.58472,0.2271,0.07837,0.02767,0.00889
United States,0.97799,0.53678,0.17804,0.06672,0.0256,0.00786
Austria,0.94477,0.34043,0.15122,0.06011,0.02106,0.00608
Norway,0.96546,0.44541,0.14731,0.05377,0.01656,0.00461
Japan,0.71578,0.27289,0.12159,0.04287,0.01412,0.00432
Senegal,0.61373,0.27172,0.0994,0.03505,0.01154,0.00358
Ivory Coast,0.98343,0.43251,0.12894,0.0456,0.01339,0.00355
Iran,0.57428,0.28911,0.10702,0.03626,0.01159,0.00347
Australia,0.93691,0.41288,0.1271,0.04093,0.01208,0.00297
Egypt,0.79214,0.36439,0.11654,0.03523,0.00964,0.00252
South Korea,0.91612,0.41619,0.13611,0.03796,0.00998,0.00229
Scotland,0.82111,0.26045,0.10138,0.03134,0.00868,0.00228
Turkey,0.42568,0.17029,0.05896,0.02266,0.0071,0.0021
Czech Republic,0.48813,0.2097,0.08149,0.02657,0.00832,0.002
Algeria,0.52414,0.17155,0.06402,0.01878,0.00561,0.00137
Paraguay,0.37731,0.14227,0.04562,0.01601,0.00524,0.00137
Bosnia and Herzegovina,0.69908,0.29062,0.08789,0.02228,0.00589,0.00113
Ghana,0.78792,0.22224,0.07034,0.01922,0.00482,0.00099
Canada,0.73913,0.29987,0.08033,0.01724,0.00379,0.00069
South Africa,0.29405,0.09703,0.02864,0.00687,0.00162,0.00039
Tunisia,0.17055,0.05244,0.01663,0.0041,0.00104,0.00025
Uzbekistan,0.25712,0.05864,0.01474,0.0031,0.00054,0.00014
DR Congo,0.45194,0.10121,0.02484,0.00474,0.00086,0.00012
Cape Verde,0.45481,0.07776,0.01948,0.00349,0.00046,0.00005
Panama,0.11426,0.02187,0.00584,0.0011,0.00024,0.00005
Saudi Arabia,0.40983,0.07125,0.01773,0.00303,0.00054,0.00005
Iraq,0.08441,0.01885,0.00374,0.00051,0.00006,0.00001
New Zealand,0.20824,0.04257,0.00567,0.00069,0.00007,0.00001
Curaçao,0.0156,0.00098,0.00009,0.00001,0.0,0.0
Haiti,0.04525,0.0049,0.00054,0.00005,0.00001,0.0
Jordan,0.10007,0.01877,0.00377,0.00055,0.0001,0.0
Qatar,0.4023,0.09821,0.01657,0.00224,0.0002,0.0
