team,p_r32,p_r16,p_qf,p_sf,p_final,p_champion
Brazil,1.0,0.79914,0.64872,0.44693,0.28152,0.18088
Argentina,1.0,0.90517,0.70091,0.46728,0.2723,0.16046
Spain,1.0,0.80638,0.51259,0.36286,0.22712,0.12634
France,1.0,0.76412,0.47092,0.30364,0.16482,0.08187
England,1.0,0.83176,0.55467,0.28599,0.14826,0.07688
Germany,1.0,0.80525,0.42451,0.26279,0.13442,0.06325
Colombia,1.0,0.75149,0.47448,0.24177,0.12148,0.06108
Belgium,1.0,0.72511,0.49315,0.23882,0.12536,0.05897
Portugal,1.0,0.63423,0.32798,0.19085,0.10047,0.04766
Netherlands,1.0,0.60474,0.47304,0.22983,0.10942,0.04621
Switzerland,1.0,0.56713,0.24634,0.09272,0.03417,0.01232
Croatia,1.0,0.41231,0.16372,0.07804,0.03247,0.01141
Morocco,1.0,0.38275,0.23987,0.09136,0.03358,0.01108
Ecuador,1.0,0.46315,0.18146,0.06807,0.02484,0.0091
United States,1.0,0.56922,0.18836,0.06375,0.02392,0.00728
Mexico,1.0,0.5695,0.21187,0.0707,0.02321,0.00718
Sweden,1.0,0.42463,0.17014,0.05609,0.01865,0.00588
Senegal,0.87572,0.30786,0.15872,0.04692,0.01527,0.0044
Austria,1.0,0.31264,0.12049,0.04026,0.01387,0.00412
Japan,1.0,0.253,0.11676,0.04132,0.0126,0.00365
Norway,1.0,0.46351,0.12247,0.04243,0.01251,0.00348
Ivory Coast,1.0,0.47573,0.12194,0.04153,0.01159,0.00314
Egypt,1.0,0.4793,0.1404,0.04298,0.0118,0.00275
Australia,1.0,0.41288,0.10579,0.03465,0.00925,0.00255
Paraguay,1.0,0.27333,0.08104,0.02981,0.00822,0.00231
Algeria,1.0,0.28791,0.094,0.02373,0.00652,0.0015
Bosnia and Herzegovina,1.0,0.30547,0.07838,0.02215,0.0051,0.00096
Ghana,1.0,0.22038,0.07175,0.01713,0.00366,0.00087
South Africa,1.0,0.45743,0.11249,0.02386,0.00498,0.00084
Canada,1.0,0.4365,0.10489,0.02269,0.00474,0.0008
Iran,0.12428,0.05332,0.01972,0.00625,0.00177,0.00045
Cape Verde,1.0,0.09483,0.02875,0.00612,0.00101,0.00021
DR Congo,1.0,0.14983,0.03968,0.00668,0.0011,0.00012
Curaçao,0.0,0.0,0.0,0.0,0.0,0.0
Czech Republic,0.0,0.0,0.0,0.0,0.0,0.0
Haiti,0.0,0.0,0.0,0.0,0.0,0.0
Iraq,0.0,0.0,0.0,0.0,0.0,0.0
Jordan,0.0,0.0,0.0,0.0,0.0,0.0
New Zealand,0.0,0.0,0.0,0.0,0.0,0.0
Panama,0.0,0.0,0.0,0.0,0.0,0.0
Qatar,0.0,0.0,0.0,0.0,0.0,0.0
Saudi Arabia,0.0,0.0,0.0,0.0,0.0,0.0
Scotland,0.0,0.0,0.0,0.0,0.0,0.0
South Korea,0.0,0.0,0.0,0.0,0.0,0.0
Tunisia,0.0,0.0,0.0,0.0,0.0,0.0
Turkey,0.0,0.0,0.0,0.0,0.0,0.0
Uruguay,0.0,0.0,0.0,0.0,0.0,0.0
Uzbekistan,0.0,0.0,0.0,0.0,0.0,0.0
