team,p_r32,p_r16,p_qf,p_sf,p_final,p_champion
Brazil,0.98955,0.74804,0.57986,0.4127,0.26816,0.17428
Argentina,0.97915,0.65681,0.48578,0.32534,0.19613,0.11764
Spain,0.93877,0.65162,0.45065,0.30927,0.19569,0.11636
France,0.95534,0.68407,0.40928,0.26187,0.14419,0.07466
Germany,0.99874,0.75084,0.44365,0.28231,0.15054,0.07453
England,0.94497,0.63152,0.40954,0.22509,0.12213,0.0637
Belgium,0.95449,0.69605,0.45553,0.23619,0.12901,0.06298
Colombia,0.93847,0.62334,0.38541,0.21556,0.11619,0.0592
Portugal,0.94726,0.63711,0.39924,0.22252,0.11735,0.05813
Netherlands,0.8761,0.47176,0.31088,0.16539,0.08191,0.03774
Uruguay,0.82639,0.44237,0.25899,0.13963,0.06814,0.03058
Croatia,0.85485,0.44571,0.2271,0.10209,0.04409,0.0173
Switzerland,0.81948,0.48003,0.21697,0.08988,0.03599,0.01365
Morocco,0.88821,0.40287,0.21291,0.08993,0.03364,0.0117
Ecuador,0.82405,0.4111,0.18704,0.07484,0.02986,0.01085
Mexico,0.98183,0.58181,0.24121,0.08625,0.02958,0.00937
Sweden,0.96522,0.41763,0.21981,0.08449,0.03041,0.0092
United States,0.97718,0.53449,0.1821,0.06625,0.02518,0.00803
Austria,0.77086,0.29559,0.12918,0.04961,0.01803,0.00543
Senegal,0.72736,0.34444,0.12426,0.04786,0.01614,0.00504
Japan,0.71401,0.27285,0.12332,0.04446,0.01554,0.00438
Ivory Coast,0.98349,0.44749,0.13777,0.04907,0.01467,0.0042
Iran,0.57061,0.28687,0.10884,0.03738,0.0122,0.00383
Norway,0.70822,0.32186,0.11073,0.04081,0.01333,0.00377
Australia,0.93841,0.41799,0.1332,0.04139,0.01227,0.00323
Egypt,0.79961,0.37325,0.12485,0.03852,0.01104,0.0031
South Korea,0.91735,0.41871,0.14236,0.03992,0.01064,0.00266
Czech Republic,0.4876,0.20762,0.08064,0.02619,0.00792,0.00222
Turkey,0.43259,0.17479,0.06264,0.02405,0.00763,0.00221
Scotland,0.82599,0.27301,0.10725,0.03424,0.00906,0.00216
Algeria,0.66107,0.21784,0.08196,0.02612,0.00766,0.00193
Paraguay,0.36831,0.14056,0.04687,0.01643,0.00472,0.00142
Bosnia and Herzegovina,0.69674,0.28667,0.08637,0.02236,0.00549,0.00134
Canada,0.74093,0.29828,0.07988,0.0187,0.00429,0.00095
Ghana,0.51029,0.14982,0.04984,0.01365,0.0037,0.00095
South Africa,0.30007,0.0991,0.02997,0.0077,0.00168,0.00028
Tunisia,0.18526,0.05985,0.0197,0.00524,0.00127,0.00027
Uzbekistan,0.35402,0.08853,0.02335,0.00493,0.00109,0.00018
Saudi Arabia,0.40385,0.07821,0.0194,0.00379,0.00061,0.00015
Cape Verde,0.46419,0.09055,0.0227,0.00442,0.00076,0.00011
Panama,0.31045,0.06483,0.01646,0.00297,0.00048,0.00009
DR Congo,0.32805,0.07715,0.02016,0.00382,0.00067,0.00008
Iraq,0.25148,0.06081,0.01073,0.00187,0.00026,0.00005
Jordan,0.21343,0.03722,0.00757,0.00129,0.00019,0.00003
Qatar,0.40577,0.09912,0.01731,0.00263,0.00036,0.00002
Haiti,0.04613,0.00503,0.00075,0.00018,0.00003,0.00001
New Zealand,0.20567,0.04342,0.00592,0.0008,0.00008,0.00001
Curaçao,0.01814,0.00137,0.00007,0.0,0.0,0.0
