team,p_r32,p_r16,p_qf,p_sf,p_final,p_champion
Brazil,1.0,0.80552,0.65592,0.45621,0.28675,0.18501
Argentina,1.0,0.90754,0.70461,0.47209,0.27429,0.16429
Spain,1.0,0.80539,0.51689,0.36741,0.23087,0.12597
France,1.0,0.76041,0.4702,0.30203,0.16382,0.08047
England,1.0,0.82907,0.54824,0.27773,0.14327,0.07467
Colombia,1.0,0.75592,0.48855,0.25015,0.12602,0.06384
Germany,1.0,0.80332,0.42187,0.26007,0.1325,0.06245
Belgium,1.0,0.72005,0.48006,0.23497,0.12216,0.05542
Portugal,1.0,0.63368,0.32584,0.18953,0.09957,0.04631
Netherlands,1.0,0.59781,0.45671,0.22339,0.10734,0.04496
Switzerland,1.0,0.59228,0.2512,0.09388,0.03432,0.01183
Morocco,1.0,0.39041,0.24047,0.09125,0.03353,0.01136
Croatia,1.0,0.41055,0.16073,0.07626,0.03102,0.01115
Ecuador,1.0,0.47636,0.18898,0.07109,0.02683,0.00961
United States,1.0,0.56297,0.19111,0.06323,0.02364,0.00714
Mexico,1.0,0.55525,0.2084,0.06731,0.02112,0.00692
Sweden,1.0,0.43674,0.17397,0.05711,0.01885,0.00622
Senegal,0.88086,0.31737,0.16242,0.0468,0.01607,0.00447
Austria,1.0,0.31644,0.12319,0.0411,0.01389,0.0044
Japan,1.0,0.25224,0.11445,0.0404,0.01238,0.00373
Norway,1.0,0.45631,0.11871,0.04059,0.01191,0.00333
Ivory Coast,1.0,0.48171,0.12334,0.04249,0.01222,0.00321
Egypt,1.0,0.48126,0.13978,0.04305,0.01122,0.00296
Paraguay,1.0,0.27868,0.0844,0.03126,0.00868,0.00217
Australia,1.0,0.4077,0.10399,0.03371,0.00842,0.00201
Algeria,1.0,0.29155,0.09683,0.02468,0.00711,0.00168
South Africa,1.0,0.43816,0.10627,0.02246,0.00492,0.00099
Canada,1.0,0.49298,0.12065,0.02527,0.00543,0.00084
Ghana,1.0,0.21806,0.07626,0.01741,0.0036,0.00084
Bosnia and Herzegovina,1.0,0.22659,0.05692,0.01862,0.00441,0.00078
Iran,0.11914,0.0525,0.01894,0.00594,0.00187,0.00065
Cape Verde,1.0,0.09246,0.02879,0.00576,0.00082,0.00016
DR Congo,1.0,0.15272,0.04131,0.00675,0.00115,0.00016
Curaçao,0.0,0.0,0.0,0.0,0.0,0.0
Czech Republic,0.0,0.0,0.0,0.0,0.0,0.0
Haiti,0.0,0.0,0.0,0.0,0.0,0.0
Iraq,0.0,0.0,0.0,0.0,0.0,0.0
Jordan,0.0,0.0,0.0,0.0,0.0,0.0
New Zealand,0.0,0.0,0.0,0.0,0.0,0.0
Panama,0.0,0.0,0.0,0.0,0.0,0.0
Qatar,0.0,0.0,0.0,0.0,0.0,0.0
Saudi Arabia,0.0,0.0,0.0,0.0,0.0,0.0
Scotland,0.0,0.0,0.0,0.0,0.0,0.0
South Korea,0.0,0.0,0.0,0.0,0.0,0.0
Tunisia,0.0,0.0,0.0,0.0,0.0,0.0
Turkey,0.0,0.0,0.0,0.0,0.0,0.0
Uruguay,0.0,0.0,0.0,0.0,0.0,0.0
Uzbekistan,0.0,0.0,0.0,0.0,0.0,0.0
