team,p_r32,p_r16,p_qf,p_sf,p_final,p_champion
Brazil,1.0,0.80946,0.67646,0.46318,0.29099,0.18609
Argentina,1.0,0.90398,0.725,0.48032,0.27241,0.16031
Spain,1.0,0.78684,0.50234,0.34906,0.22075,0.12302
France,1.0,0.76723,0.44986,0.29339,0.15885,0.07933
England,1.0,0.85785,0.57756,0.29267,0.15216,0.07851
Germany,1.0,0.82404,0.44071,0.28028,0.14308,0.06572
Colombia,1.0,0.75489,0.48137,0.24935,0.12628,0.06282
Belgium,1.0,0.7083,0.53497,0.25229,0.13211,0.05954
Portugal,1.0,0.6465,0.32439,0.188,0.09884,0.04787
Netherlands,1.0,0.60919,0.48031,0.22807,0.10694,0.04545
Switzerland,1.0,0.563,0.24616,0.09482,0.03472,0.01284
Morocco,1.0,0.38372,0.24539,0.0885,0.03214,0.01062
Croatia,1.0,0.38123,0.13627,0.06593,0.02696,0.00929
Ecuador,1.0,0.44745,0.18105,0.06425,0.02414,0.00826
Mexico,1.0,0.55255,0.20128,0.0672,0.02276,0.0074
United States,1.0,0.60619,0.18617,0.05878,0.02148,0.00646
Sweden,1.0,0.46385,0.18154,0.06213,0.01979,0.00614
Senegal,1.0,0.29866,0.16458,0.04695,0.01563,0.00484
Japan,1.0,0.19763,0.10453,0.03906,0.01217,0.00384
Norway,1.0,0.52239,0.12587,0.04414,0.01298,0.00341
Ivory Coast,1.0,0.47761,0.10857,0.03638,0.01064,0.00298
Egypt,1.0,0.49316,0.12068,0.0401,0.01079,0.00272
Austria,1.0,0.21316,0.07138,0.02936,0.00962,0.00263
Paraguay,1.0,0.34268,0.091,0.03337,0.00927,0.00246
Australia,1.0,0.38997,0.09587,0.03271,0.00806,0.00197
Algeria,1.0,0.39381,0.1166,0.02676,0.00751,0.00159
South Africa,1.0,0.47099,0.11695,0.02394,0.0051,0.00101
Canada,1.0,0.50216,0.1229,0.02382,0.00474,0.00095
Ghana,1.0,0.21738,0.07557,0.01808,0.00392,0.00093
Bosnia and Herzegovina,1.0,0.17596,0.04266,0.0141,0.00301,0.00065
DR Congo,1.0,0.14215,0.04011,0.00654,0.00113,0.00022
Cape Verde,1.0,0.09602,0.0319,0.00647,0.00103,0.00013
Curaçao,0.0,0.0,0.0,0.0,0.0,0.0
Czech Republic,0.0,0.0,0.0,0.0,0.0,0.0
Haiti,0.0,0.0,0.0,0.0,0.0,0.0
Iran,0.0,0.0,0.0,0.0,0.0,0.0
Iraq,0.0,0.0,0.0,0.0,0.0,0.0
Jordan,0.0,0.0,0.0,0.0,0.0,0.0
New Zealand,0.0,0.0,0.0,0.0,0.0,0.0
Panama,0.0,0.0,0.0,0.0,0.0,0.0
Qatar,0.0,0.0,0.0,0.0,0.0,0.0
Saudi Arabia,0.0,0.0,0.0,0.0,0.0,0.0
Scotland,0.0,0.0,0.0,0.0,0.0,0.0
South Korea,0.0,0.0,0.0,0.0,0.0,0.0
Tunisia,0.0,0.0,0.0,0.0,0.0,0.0
Turkey,0.0,0.0,0.0,0.0,0.0,0.0
Uruguay,0.0,0.0,0.0,0.0,0.0,0.0
Uzbekistan,0.0,0.0,0.0,0.0,0.0,0.0
