team,p_r32,p_r16,p_qf,p_sf,p_final,p_champion
Brazil,1.0,0.76912,0.62253,0.44665,0.28379,0.18484
Argentina,1.0,0.81855,0.59435,0.39549,0.22596,0.13734
Spain,1.0,0.74137,0.48198,0.35044,0.22282,0.12674
France,1.0,0.74883,0.41945,0.28488,0.16033,0.08112
Germany,1.0,0.7955,0.45019,0.30871,0.16764,0.07684
England,1.0,0.7087,0.47053,0.23683,0.12335,0.06576
Colombia,1.0,0.69105,0.42065,0.22467,0.11465,0.05868
Portugal,1.0,0.68073,0.38002,0.22357,0.11842,0.05616
Belgium,0.96017,0.70899,0.39535,0.2103,0.10628,0.05046
Netherlands,1.0,0.51363,0.39372,0.1962,0.09644,0.0416
Uruguay,0.51874,0.28387,0.15719,0.0841,0.04074,0.01734
Morocco,1.0,0.43108,0.28586,0.1067,0.04139,0.01388
Croatia,0.94233,0.39769,0.19744,0.08525,0.0337,0.01249
Switzerland,1.0,0.58326,0.24662,0.08723,0.03109,0.01182
United States,1.0,0.62505,0.26832,0.09132,0.03516,0.00996
Mexico,1.0,0.61725,0.24279,0.07442,0.02396,0.00799
Sweden,0.9718,0.35594,0.16378,0.05699,0.01934,0.00621
Japan,1.0,0.32153,0.15699,0.05175,0.01728,0.00528
Austria,0.95042,0.29361,0.11625,0.04482,0.01582,0.00445
Norway,1.0,0.53039,0.12261,0.04795,0.01432,0.00403
Egypt,1.0,0.44607,0.17701,0.0487,0.01437,0.00359
Iran,0.69934,0.32441,0.11969,0.04042,0.01216,0.00354
Ivory Coast,0.98059,0.42909,0.09102,0.03244,0.0089,0.0025
Senegal,0.48754,0.18933,0.08352,0.02439,0.00798,0.00238
South Korea,0.90399,0.28797,0.12457,0.0317,0.00877,0.00198
Ecuador,0.22933,0.10234,0.04595,0.01611,0.00591,0.00192
Paraguay,0.77072,0.24045,0.06556,0.02526,0.00745,0.00192
Australia,0.89954,0.29541,0.06991,0.02364,0.0061,0.00156
Algeria,0.74404,0.22867,0.08778,0.02483,0.00725,0.00154
Canada,1.0,0.51812,0.14599,0.02998,0.00681,0.00138
South Africa,1.0,0.48188,0.14053,0.0302,0.00696,0.00134
Bosnia and Herzegovina,1.0,0.28716,0.10376,0.02421,0.00579,0.00112
Ghana,0.99997,0.23478,0.07199,0.01917,0.00425,0.00104
Scotland,0.29924,0.08323,0.02477,0.00681,0.00187,0.00052
Turkey,0.13488,0.0365,0.01197,0.00552,0.00168,0.00043
Cape Verde,0.67579,0.08125,0.02088,0.00408,0.00055,0.00013
DR Congo,0.34903,0.0612,0.01667,0.0023,0.00046,0.00008
Saudi Arabia,0.3242,0.03393,0.00816,0.00135,0.00019,0.00003
Uzbekistan,0.0205,0.00365,0.00107,0.00024,0.00004,0.00001
Curaçao,0.05592,0.00354,0.00008,0.00001,0.0,0.0
Czech Republic,0.0,0.0,0.0,0.0,0.0,0.0
Haiti,0.0,0.0,0.0,0.0,0.0,0.0
Iraq,0.01608,0.00246,0.00065,0.0001,0.00001,0.0
Jordan,0.01316,0.00277,0.00068,0.00008,0.0,0.0
New Zealand,0.0395,0.00783,0.00067,0.00013,0.00001,0.0
Panama,0.01318,0.00182,0.0005,0.00006,0.00001,0.0
Qatar,0.0,0.0,0.0,0.0,0.0,0.0
Tunisia,0.0,0.0,0.0,0.0,0.0,0.0
