team,p_r32,p_r16,p_qf,p_sf,p_final,p_champion
Argentina,1.0,0.90744,0.73704,0.48806,0.33236,0.18206
Brazil,1.0,0.67802,0.60387,0.39167,0.24866,0.16099
Spain,1.0,0.79165,0.51074,0.3543,0.19957,0.12299
England,1.0,0.85699,0.57599,0.40593,0.21055,0.1002
Colombia,1.0,0.77938,0.50793,0.25856,0.15635,0.074
France,1.0,0.76381,0.44968,0.22752,0.12354,0.06748
Belgium,1.0,0.71101,0.5466,0.25542,0.11318,0.05795
Germany,1.0,0.82281,0.43675,0.20436,0.10337,0.05398
Portugal,1.0,0.61795,0.28588,0.1702,0.0774,0.04077
Netherlands,1.0,0.32198,0.25947,0.12193,0.05718,0.02812
Switzerland,1.0,0.55314,0.242,0.09298,0.04507,0.01521
Morocco,1.0,0.53598,0.30243,0.12719,0.04655,0.01456
Ecuador,1.0,0.44599,0.17987,0.10058,0.03701,0.01204
Mexico,1.0,0.55401,0.20464,0.10714,0.03562,0.00983
Croatia,1.0,0.38205,0.13369,0.0646,0.02198,0.00887
Japan,1.0,0.46402,0.24923,0.09242,0.02921,0.00799
Sweden,1.0,0.44686,0.17509,0.0583,0.02527,0.00684
Norway,1.0,0.52335,0.23908,0.08382,0.02506,0.00637
United States,1.0,0.61056,0.18136,0.05827,0.01742,0.00598
Ivory Coast,1.0,0.47665,0.20926,0.07001,0.01914,0.00458
Senegal,1.0,0.28899,0.16041,0.04488,0.01195,0.00363
Australia,1.0,0.50586,0.11772,0.03949,0.01483,0.00346
Egypt,1.0,0.49414,0.11449,0.03851,0.01371,0.00323
Austria,1.0,0.20835,0.06969,0.02781,0.00745,0.00257
Algeria,1.0,0.38944,0.11163,0.02452,0.00536,0.00164
Paraguay,1.0,0.23619,0.07036,0.01821,0.00527,0.00145
Ghana,1.0,0.22062,0.07498,0.01802,0.00553,0.00109
South Africa,1.0,0.48456,0.06863,0.01408,0.00306,0.00068
Canada,1.0,0.51544,0.06803,0.01332,0.00262,0.00063
Bosnia and Herzegovina,1.0,0.17719,0.04321,0.00891,0.00199,0.00039
DR Congo,1.0,0.14301,0.0395,0.01291,0.00231,0.00029
Cape Verde,1.0,0.09256,0.03075,0.00608,0.00143,0.00013
Curaçao,0.0,0.0,0.0,0.0,0.0,0.0
Czech Republic,0.0,0.0,0.0,0.0,0.0,0.0
Haiti,0.0,0.0,0.0,0.0,0.0,0.0
Iran,0.0,0.0,0.0,0.0,0.0,0.0
Iraq,0.0,0.0,0.0,0.0,0.0,0.0
Jordan,0.0,0.0,0.0,0.0,0.0,0.0
New Zealand,0.0,0.0,0.0,0.0,0.0,0.0
Panama,0.0,0.0,0.0,0.0,0.0,0.0
Qatar,0.0,0.0,0.0,0.0,0.0,0.0
Saudi Arabia,0.0,0.0,0.0,0.0,0.0,0.0
Scotland,0.0,0.0,0.0,0.0,0.0,0.0
South Korea,0.0,0.0,0.0,0.0,0.0,0.0
Tunisia,0.0,0.0,0.0,0.0,0.0,0.0
Turkey,0.0,0.0,0.0,0.0,0.0,0.0
Uruguay,0.0,0.0,0.0,0.0,0.0,0.0
Uzbekistan,0.0,0.0,0.0,0.0,0.0,0.0
