team,p_r32,p_r16,p_qf,p_sf,p_final,p_champion
Argentina,1.0,0.90532,0.73948,0.48806,0.33275,0.1847
Brazil,1.0,0.66592,0.59526,0.38415,0.24506,0.15914
Spain,1.0,0.79043,0.5048,0.3501,0.19566,0.12033
England,1.0,0.85406,0.57233,0.40494,0.2095,0.09867
Colombia,1.0,0.79186,0.51637,0.26412,0.15997,0.07532
France,1.0,0.7632,0.44989,0.2288,0.12431,0.06928
Belgium,1.0,0.71615,0.54258,0.25046,0.11003,0.05553
Germany,1.0,0.82242,0.43619,0.20289,0.10307,0.05323
Portugal,1.0,0.61095,0.28469,0.17317,0.07925,0.04055
Netherlands,1.0,0.33408,0.27107,0.13151,0.06405,0.03168
Switzerland,1.0,0.55869,0.24594,0.09367,0.04481,0.01479
Ecuador,1.0,0.45496,0.1858,0.105,0.03932,0.01273
Morocco,1.0,0.52544,0.28987,0.11948,0.04207,0.01263
Croatia,1.0,0.38905,0.14013,0.06971,0.0245,0.01049
Mexico,1.0,0.54504,0.20051,0.1051,0.03571,0.01048
Japan,1.0,0.47456,0.25186,0.09358,0.02944,0.00797
Sweden,1.0,0.44131,0.17173,0.05767,0.02494,0.00676
United States,1.0,0.61555,0.19344,0.06186,0.01834,0.00645
Norway,1.0,0.51943,0.24305,0.08499,0.02479,0.00597
Ivory Coast,1.0,0.48057,0.21522,0.07327,0.02137,0.00543
Senegal,1.0,0.28385,0.15183,0.04108,0.01072,0.00338
Egypt,1.0,0.49712,0.11502,0.03764,0.01335,0.00297
Australia,1.0,0.50288,0.11395,0.03795,0.01387,0.00293
Austria,1.0,0.20957,0.07038,0.02798,0.00723,0.00253
Paraguay,1.0,0.2368,0.07095,0.01818,0.0049,0.00152
Algeria,1.0,0.38445,0.11215,0.02564,0.00555,0.00138
Ghana,1.0,0.20814,0.06596,0.01482,0.00436,0.00094
South Africa,1.0,0.47521,0.06388,0.01263,0.00254,0.00066
Canada,1.0,0.52479,0.06979,0.0134,0.00273,0.00057
Bosnia and Herzegovina,1.0,0.17758,0.04297,0.00844,0.00206,0.00045
DR Congo,1.0,0.14594,0.04136,0.01364,0.00231,0.00032
Cape Verde,1.0,0.09468,0.03155,0.00607,0.00144,0.00022
Curaçao,0.0,0.0,0.0,0.0,0.0,0.0
Czech Republic,0.0,0.0,0.0,0.0,0.0,0.0
Haiti,0.0,0.0,0.0,0.0,0.0,0.0
Iran,0.0,0.0,0.0,0.0,0.0,0.0
Iraq,0.0,0.0,0.0,0.0,0.0,0.0
Jordan,0.0,0.0,0.0,0.0,0.0,0.0
New Zealand,0.0,0.0,0.0,0.0,0.0,0.0
Panama,0.0,0.0,0.0,0.0,0.0,0.0
Qatar,0.0,0.0,0.0,0.0,0.0,0.0
Saudi Arabia,0.0,0.0,0.0,0.0,0.0,0.0
Scotland,0.0,0.0,0.0,0.0,0.0,0.0
South Korea,0.0,0.0,0.0,0.0,0.0,0.0
Tunisia,0.0,0.0,0.0,0.0,0.0,0.0
Turkey,0.0,0.0,0.0,0.0,0.0,0.0
Uruguay,0.0,0.0,0.0,0.0,0.0,0.0
Uzbekistan,0.0,0.0,0.0,0.0,0.0,0.0
