team,p_r32,p_r16,p_qf,p_sf,p_final,p_champion
Brazil,1.0,0.81467,0.66191,0.4759,0.29944,0.19797
Argentina,1.0,0.81795,0.59466,0.3963,0.22669,0.13783
Spain,1.0,0.7347,0.47463,0.3424,0.21426,0.12073
France,1.0,0.74712,0.41908,0.27171,0.15215,0.07497
Germany,1.0,0.79835,0.45354,0.29282,0.15772,0.07258
Colombia,1.0,0.69611,0.4265,0.22758,0.11766,0.05937
England,1.0,0.68806,0.44438,0.22367,0.11404,0.05892
Portugal,1.0,0.67828,0.37924,0.22256,0.11737,0.05631
Netherlands,1.0,0.6171,0.48949,0.24044,0.12003,0.04983
Belgium,0.95389,0.69758,0.37978,0.20175,0.10017,0.04823
Uruguay,0.50906,0.28366,0.15542,0.08406,0.04057,0.01773
Morocco,1.0,0.3829,0.25391,0.0985,0.03863,0.0125
Croatia,0.88321,0.37243,0.18085,0.07672,0.03153,0.01239
Switzerland,1.0,0.57019,0.23927,0.08395,0.03099,0.01225
Ecuador,1.0,0.4384,0.21068,0.07303,0.02727,0.00988
United States,1.0,0.57581,0.24163,0.08071,0.03027,0.00877
Mexico,1.0,0.56863,0.22403,0.06751,0.02176,0.00727
Sweden,1.0,0.44294,0.18372,0.05737,0.01967,0.00595
Iran,0.68605,0.33486,0.12271,0.03916,0.01274,0.004
Japan,1.0,0.18533,0.09322,0.03712,0.01198,0.004
Egypt,0.99999,0.45609,0.18242,0.05137,0.01527,0.00398
Norway,1.0,0.51173,0.12061,0.04648,0.0135,0.00396
Austria,0.87745,0.25895,0.10164,0.04157,0.01417,0.00364
Ivory Coast,1.0,0.45312,0.0981,0.03603,0.0099,0.00287
Paraguay,0.99811,0.27449,0.08655,0.03313,0.01029,0.00233
Senegal,0.33219,0.14383,0.06708,0.02054,0.00717,0.00213
Australia,1.0,0.36515,0.0805,0.02744,0.0069,0.00195
South Korea,0.63199,0.20946,0.09322,0.02293,0.00661,0.00149
South Africa,1.0,0.4938,0.12962,0.02853,0.00691,0.00137
Algeria,0.64627,0.18705,0.07329,0.02169,0.00609,0.00126
Canada,1.0,0.5062,0.12698,0.02631,0.0061,0.00108
Ghana,0.99957,0.23602,0.07356,0.01952,0.00474,0.00102
Bosnia and Herzegovina,1.0,0.24427,0.08262,0.02053,0.00542,0.001
Cape Verde,0.66338,0.08287,0.021,0.00401,0.00081,0.0002
Scotland,0.0833,0.02078,0.00572,0.00197,0.00055,0.00017
DR Congo,0.34397,0.06264,0.01782,0.00277,0.00044,0.00006
Saudi Arabia,0.32566,0.03576,0.00878,0.00163,0.00017,0.00001
Curaçao,0.0,0.0,0.0,0.0,0.0,0.0
Czech Republic,0.0,0.0,0.0,0.0,0.0,0.0
Haiti,0.0,0.0,0.0,0.0,0.0,0.0
Iraq,0.00273,0.00057,0.00011,0.00002,0.0,0.0
Jordan,0.00823,0.00142,0.00035,0.00008,0.00001,0.0
New Zealand,0.04174,0.00867,0.00084,0.00013,0.0,0.0
Panama,0.01051,0.00148,0.00042,0.00002,0.0,0.0
Qatar,0.0,0.0,0.0,0.0,0.0,0.0
Tunisia,0.0,0.0,0.0,0.0,0.0,0.0
Turkey,0.0,0.0,0.0,0.0,0.0,0.0
Uzbekistan,0.0027,0.00058,0.00012,0.00004,0.00001,0.0
