team,p_r32,p_r16,p_qf,p_sf,p_final,p_champion
Argentina,1.0,0.9073,0.74105,0.49096,0.33936,0.18874
Brazil,1.0,0.66887,0.59775,0.38973,0.25035,0.16153
Spain,1.0,0.79417,0.50797,0.35473,0.1958,0.11951
England,1.0,0.85409,0.57062,0.40383,0.20412,0.096
Colombia,1.0,0.79066,0.52143,0.26424,0.15993,0.07518
France,1.0,0.76112,0.44281,0.21987,0.11976,0.06641
Germany,1.0,0.82804,0.44455,0.20699,0.1052,0.05491
Belgium,1.0,0.71198,0.53902,0.24739,0.10759,0.05477
Portugal,1.0,0.61315,0.28525,0.17331,0.0797,0.04148
Netherlands,1.0,0.33113,0.26906,0.13131,0.06332,0.03074
Switzerland,1.0,0.55502,0.24058,0.08969,0.04265,0.01439
Morocco,1.0,0.52426,0.28944,0.11844,0.04217,0.01335
Ecuador,1.0,0.44486,0.1814,0.10276,0.03889,0.01299
Mexico,1.0,0.55514,0.20717,0.11048,0.03686,0.01075
Croatia,1.0,0.38685,0.13897,0.06876,0.02433,0.01001
Japan,1.0,0.47574,0.2555,0.09618,0.02977,0.00751
Sweden,1.0,0.44498,0.17055,0.05593,0.02394,0.00678
United States,1.0,0.61923,0.19486,0.06265,0.0191,0.00652
Norway,1.0,0.51538,0.23817,0.08221,0.02382,0.00559
Ivory Coast,1.0,0.48462,0.21689,0.07269,0.02127,0.00524
Senegal,1.0,0.28802,0.15464,0.04203,0.01053,0.00334
Egypt,1.0,0.49539,0.11406,0.03833,0.01415,0.00311
Australia,1.0,0.50461,0.11338,0.03872,0.01424,0.00306
Austria,1.0,0.20583,0.06781,0.02685,0.00699,0.00227
Paraguay,1.0,0.23888,0.0704,0.01755,0.00483,0.00143
Algeria,1.0,0.38077,0.11148,0.02428,0.00499,0.00133
Ghana,1.0,0.20934,0.06744,0.01502,0.00462,0.00088
Canada,1.0,0.52323,0.0682,0.01331,0.00261,0.00059
South Africa,1.0,0.47677,0.06499,0.01281,0.0027,0.00058
Bosnia and Herzegovina,1.0,0.17196,0.04224,0.00843,0.0022,0.00053
DR Congo,1.0,0.14591,0.04081,0.01341,0.00243,0.00031
Cape Verde,1.0,0.0927,0.03151,0.00711,0.00178,0.00017
Curaçao,0.0,0.0,0.0,0.0,0.0,0.0
Czech Republic,0.0,0.0,0.0,0.0,0.0,0.0
Haiti,0.0,0.0,0.0,0.0,0.0,0.0
Iran,0.0,0.0,0.0,0.0,0.0,0.0
Iraq,0.0,0.0,0.0,0.0,0.0,0.0
Jordan,0.0,0.0,0.0,0.0,0.0,0.0
New Zealand,0.0,0.0,0.0,0.0,0.0,0.0
Panama,0.0,0.0,0.0,0.0,0.0,0.0
Qatar,0.0,0.0,0.0,0.0,0.0,0.0
Saudi Arabia,0.0,0.0,0.0,0.0,0.0,0.0
Scotland,0.0,0.0,0.0,0.0,0.0,0.0
South Korea,0.0,0.0,0.0,0.0,0.0,0.0
Tunisia,0.0,0.0,0.0,0.0,0.0,0.0
Turkey,0.0,0.0,0.0,0.0,0.0,0.0
Uruguay,0.0,0.0,0.0,0.0,0.0,0.0
Uzbekistan,0.0,0.0,0.0,0.0,0.0,0.0
