team,p_r32,p_r16,p_qf,p_sf,p_final,p_champion
Brazil,1.0,0.75287,0.59787,0.41874,0.26958,0.1775
Argentina,0.99935,0.67895,0.51558,0.34921,0.20958,0.12646
Spain,0.94536,0.64191,0.45291,0.31366,0.19407,0.11214
Germany,1.0,0.79593,0.46463,0.29309,0.16033,0.0776
France,0.99827,0.74524,0.41661,0.26405,0.1468,0.07429
England,0.99758,0.72783,0.49292,0.26239,0.13826,0.07221
Colombia,0.99297,0.69542,0.45471,0.24436,0.12894,0.06596
Belgium,0.95672,0.70284,0.45923,0.24217,0.12601,0.06035
Portugal,0.8872,0.59563,0.35994,0.20158,0.10405,0.05069
Netherlands,1.0,0.51733,0.36042,0.18127,0.09038,0.04082
Uruguay,0.83841,0.42854,0.25918,0.14182,0.06709,0.02975
Switzerland,0.99998,0.62556,0.27669,0.1078,0.04323,0.01536
Morocco,1.0,0.43714,0.24491,0.09414,0.03679,0.01253
Croatia,0.78257,0.36445,0.17252,0.07951,0.03295,0.0122
United States,1.0,0.61495,0.22894,0.08329,0.03123,0.00926
Mexico,1.0,0.62937,0.23908,0.08209,0.02799,0.00895
Sweden,0.96633,0.39935,0.18003,0.06468,0.02288,0.00722
Austria,0.96219,0.34905,0.14986,0.05957,0.02012,0.00592
Japan,1.0,0.35727,0.1615,0.05495,0.01792,0.00533
Norway,0.97918,0.48688,0.15202,0.05532,0.01711,0.00494
Senegal,0.65698,0.30177,0.11003,0.03879,0.01263,0.00396
Ecuador,0.24741,0.11346,0.05476,0.02272,0.00914,0.00342
Iran,0.58438,0.28525,0.10356,0.03525,0.01144,0.00331
Ivory Coast,0.97776,0.41515,0.10871,0.03708,0.01055,0.00287
Paraguay,0.78452,0.28854,0.08654,0.03116,0.00936,0.00263
Egypt,0.80641,0.37695,0.11846,0.03666,0.01032,0.00257
Australia,0.89294,0.35972,0.09057,0.03083,0.00869,0.00224
South Korea,0.8901,0.36174,0.11846,0.03115,0.00845,0.00194
Algeria,0.57117,0.19442,0.07152,0.02137,0.00575,0.00152
Canada,1.0,0.46196,0.12073,0.0266,0.0056,0.00114
Scotland,0.73484,0.20387,0.064,0.01837,0.00483,0.00114
Czech Republic,0.26571,0.10712,0.04184,0.01273,0.00389,0.0009
Ghana,0.83865,0.23961,0.07762,0.02115,0.00467,0.0009
Bosnia and Herzegovina,0.54707,0.14936,0.04634,0.01159,0.00277,0.00065
Turkey,0.13237,0.03884,0.01475,0.00571,0.00181,0.00055
South Africa,0.27852,0.09672,0.02652,0.00565,0.00146,0.00026
Uzbekistan,0.28443,0.06245,0.0154,0.00298,0.00059,0.00014
Cape Verde,0.47487,0.07848,0.02155,0.00421,0.00077,0.00012
DR Congo,0.48174,0.11017,0.02655,0.00545,0.00091,0.0001
Saudi Arabia,0.40912,0.0679,0.01755,0.00284,0.0005,0.00007
Iraq,0.09318,0.0192,0.00398,0.00054,0.00005,0.00002
New Zealand,0.21732,0.04264,0.00548,0.0007,0.00008,0.00002
Panama,0.1324,0.02532,0.00631,0.00135,0.00025,0.00002
Qatar,0.2014,0.02593,0.00472,0.00079,0.00013,0.00002
Jordan,0.11614,0.02174,0.00422,0.00058,0.00005,0.00001
Curaçao,0.05898,0.0039,0.00015,0.00002,0.0,0.0
Haiti,0.01547,0.00128,0.00013,0.00004,0.0,0.0
Tunisia,0.00001,0.0,0.0,0.0,0.0,0.0
