team,p_r32,p_r16,p_qf,p_sf,p_final,p_champion
Brazil,1.0,0.804,0.67455,0.46812,0.29647,0.19007
Argentina,1.0,0.90669,0.72838,0.48594,0.27743,0.16481
Spain,1.0,0.78971,0.5046,0.34908,0.22128,0.12232
France,1.0,0.76248,0.44594,0.2873,0.15351,0.07586
England,1.0,0.85442,0.56803,0.2825,0.1448,0.07309
Germany,1.0,0.82206,0.44005,0.27677,0.13947,0.06469
Belgium,1.0,0.70843,0.52996,0.2487,0.13103,0.06015
Colombia,1.0,0.71315,0.41067,0.22584,0.11703,0.05801
Portugal,1.0,0.69444,0.4089,0.21802,0.1104,0.05219
Netherlands,1.0,0.60995,0.46838,0.22426,0.10609,0.04553
Switzerland,1.0,0.58719,0.2524,0.09604,0.0352,0.01291
Morocco,1.0,0.38206,0.23865,0.08843,0.03223,0.01103
Croatia,1.0,0.37952,0.14274,0.06612,0.02645,0.00961
Mexico,1.0,0.56349,0.21485,0.07184,0.02497,0.00834
Ecuador,1.0,0.43651,0.17838,0.06423,0.02335,0.00832
United States,1.0,0.62291,0.19944,0.066,0.02518,0.00802
Sweden,1.0,0.47277,0.17832,0.05936,0.01854,0.00549
Senegal,1.0,0.29743,0.15969,0.04541,0.0151,0.00426
Japan,1.0,0.20399,0.11241,0.04247,0.01373,0.00412
Norway,1.0,0.51484,0.12028,0.04264,0.0128,0.00346
Ivory Coast,1.0,0.48516,0.1088,0.03592,0.01036,0.00279
Austria,1.0,0.21029,0.07277,0.02828,0.00951,0.00276
Paraguay,1.0,0.37479,0.09901,0.03609,0.01003,0.00252
Egypt,1.0,0.48608,0.11595,0.03833,0.01026,0.00251
Australia,1.0,0.37079,0.09371,0.03251,0.00848,0.00216
Algeria,1.0,0.37709,0.11302,0.0255,0.00685,0.00155
Canada,1.0,0.5063,0.1264,0.02714,0.00564,0.00103
Ghana,1.0,0.21289,0.07312,0.01786,0.00396,0.00091
South Africa,1.0,0.43374,0.10701,0.02225,0.00462,0.00071
Bosnia and Herzegovina,1.0,0.17794,0.04441,0.0144,0.00327,0.00045
Cape Verde,1.0,0.09331,0.03044,0.00623,0.0011,0.00017
DR Congo,1.0,0.14558,0.03874,0.00642,0.00086,0.00016
Curaçao,0.0,0.0,0.0,0.0,0.0,0.0
Czech Republic,0.0,0.0,0.0,0.0,0.0,0.0
Haiti,0.0,0.0,0.0,0.0,0.0,0.0
Iran,0.0,0.0,0.0,0.0,0.0,0.0
Iraq,0.0,0.0,0.0,0.0,0.0,0.0
Jordan,0.0,0.0,0.0,0.0,0.0,0.0
New Zealand,0.0,0.0,0.0,0.0,0.0,0.0
Panama,0.0,0.0,0.0,0.0,0.0,0.0
Qatar,0.0,0.0,0.0,0.0,0.0,0.0
Saudi Arabia,0.0,0.0,0.0,0.0,0.0,0.0
Scotland,0.0,0.0,0.0,0.0,0.0,0.0
South Korea,0.0,0.0,0.0,0.0,0.0,0.0
Tunisia,0.0,0.0,0.0,0.0,0.0,0.0
Turkey,0.0,0.0,0.0,0.0,0.0,0.0
Uruguay,0.0,0.0,0.0,0.0,0.0,0.0
Uzbekistan,0.0,0.0,0.0,0.0,0.0,0.0
