team,p_r32,p_r16,p_qf,p_sf,p_final,p_champion
Brazil,1.0,0.75648,0.61008,0.43347,0.27452,0.18026
Argentina,1.0,0.81944,0.59755,0.40295,0.24017,0.14466
Spain,1.0,0.74093,0.48585,0.353,0.22025,0.12671
France,1.0,0.74699,0.42682,0.27359,0.15014,0.07488
Germany,1.0,0.79536,0.44826,0.2848,0.15319,0.07118
England,1.0,0.71634,0.47188,0.25383,0.13076,0.06709
Colombia,1.0,0.69311,0.44476,0.23538,0.12423,0.06288
Portugal,1.0,0.67845,0.38834,0.22332,0.11658,0.05649
Belgium,0.95757,0.70058,0.38295,0.20347,0.1041,0.04978
Netherlands,1.0,0.51638,0.36157,0.18108,0.08935,0.03908
Uruguay,0.55023,0.30913,0.17642,0.09268,0.04422,0.01923
Switzerland,1.0,0.61462,0.2648,0.09807,0.03875,0.01376
Croatia,0.94845,0.40446,0.20954,0.08829,0.03633,0.0132
Morocco,1.0,0.43658,0.24564,0.09339,0.03563,0.01234
United States,1.0,0.61963,0.26245,0.09118,0.03415,0.01066
Mexico,1.0,0.63893,0.25644,0.0882,0.02974,0.00994
Sweden,0.97251,0.39637,0.17994,0.06099,0.02085,0.00658
Japan,1.0,0.36025,0.16882,0.05822,0.01855,0.00518
Norway,1.0,0.53085,0.14344,0.05356,0.01572,0.00457
Austria,0.95392,0.29445,0.11557,0.04402,0.01484,0.00419
Iran,0.72216,0.34267,0.12309,0.04161,0.01315,0.00391
Egypt,0.99999,0.44198,0.16971,0.04618,0.01327,0.00308
Senegal,0.48538,0.19663,0.09106,0.0273,0.00873,0.00272
Ecuador,0.23444,0.10681,0.05279,0.01993,0.00735,0.00251
Ivory Coast,0.97924,0.42737,0.11088,0.038,0.0097,0.00246
Paraguay,0.79708,0.24894,0.06743,0.02469,0.00731,0.00206
South Korea,0.90161,0.38361,0.13034,0.03351,0.00851,0.00203
Australia,0.9042,0.29827,0.07075,0.02433,0.00715,0.00182
Algeria,0.79708,0.25267,0.09272,0.02437,0.0064,0.00144
Scotland,0.75445,0.2082,0.06406,0.01806,0.00488,0.00111
Canada,1.0,0.45572,0.11668,0.02401,0.00549,0.00102
Ghana,0.99983,0.23273,0.07729,0.01953,0.00477,0.00097
Czech Republic,0.24555,0.10566,0.04207,0.01218,0.00377,0.00082
Bosnia and Herzegovina,0.54103,0.14398,0.04938,0.01162,0.00292,0.0005
Turkey,0.12774,0.03524,0.01106,0.00442,0.00136,0.0004
South Africa,0.26463,0.09594,0.02668,0.00593,0.00134,0.0003
DR Congo,0.3644,0.06199,0.01723,0.00297,0.00055,0.00009
Saudi Arabia,0.33257,0.03616,0.00905,0.0016,0.00031,0.00005
Cape Verde,0.67063,0.08346,0.02088,0.0039,0.00058,0.00004
New Zealand,0.0418,0.00898,0.00098,0.00028,0.00005,0.00001
Curaçao,0.05795,0.00406,0.00015,0.00001,0.0,0.0
Haiti,0.01653,0.00157,0.00012,0.0,0.0,0.0
Iraq,0.05721,0.01148,0.00307,0.0005,0.00005,0.0
Jordan,0.01332,0.00248,0.00053,0.00006,0.00001,0.0
Panama,0.01413,0.00193,0.00065,0.00011,0.00002,0.0
Qatar,0.20183,0.02554,0.00522,0.00061,0.0001,0.0
Tunisia,0.0,0.0,0.0,0.0,0.0,0.0
Uzbekistan,0.09254,0.0166,0.00501,0.0008,0.00016,0.0
