team,p_r32,p_r16,p_qf,p_sf,p_final,p_champion
Brazil,1.0,0.74886,0.61366,0.42226,0.2688,0.17333
Argentina,1.0,0.90423,0.69825,0.4667,0.28898,0.16781
Spain,1.0,0.80229,0.50984,0.35925,0.2169,0.1238
England,1.0,0.82634,0.55072,0.31433,0.16109,0.08056
France,1.0,0.75988,0.49454,0.28449,0.15562,0.07994
Colombia,1.0,0.74863,0.49208,0.25462,0.13491,0.06625
Germany,1.0,0.79184,0.42862,0.23962,0.12266,0.05925
Belgium,1.0,0.71528,0.47941,0.23552,0.1186,0.05719
Portugal,1.0,0.6341,0.32969,0.19271,0.09941,0.04841
Netherlands,1.0,0.47634,0.34448,0.17413,0.08289,0.03685
Switzerland,1.0,0.62325,0.2605,0.0998,0.04053,0.01376
Croatia,1.0,0.40962,0.16659,0.08047,0.03186,0.01262
Morocco,1.0,0.45489,0.24148,0.09837,0.03701,0.01229
Ecuador,1.0,0.47313,0.19645,0.08352,0.03123,0.01116
Mexico,1.0,0.55865,0.20742,0.0791,0.02634,0.00786
Sweden,1.0,0.48236,0.19434,0.06445,0.0229,0.00692
United States,1.0,0.56976,0.19102,0.06312,0.02184,0.0066
Japan,1.0,0.34877,0.15063,0.0545,0.01719,0.00479
Senegal,0.88148,0.30926,0.16451,0.04982,0.01586,0.00471
Norway,1.0,0.4231,0.14652,0.05131,0.01533,0.00393
Ivory Coast,1.0,0.49551,0.15783,0.05213,0.01476,0.00382
Austria,1.0,0.31477,0.12237,0.04181,0.0126,0.0038
Egypt,1.0,0.48105,0.14312,0.04542,0.0135,0.00319
Paraguay,1.0,0.29857,0.09579,0.03291,0.00997,0.00276
Australia,1.0,0.38631,0.10212,0.0328,0.00966,0.00232
Algeria,1.0,0.29416,0.09989,0.02692,0.00682,0.0018
Ghana,1.0,0.22467,0.08298,0.01966,0.00521,0.00104
Canada,1.0,0.46626,0.09739,0.02169,0.00459,0.00087
South Africa,1.0,0.40191,0.08012,0.01904,0.00429,0.00085
Bosnia and Herzegovina,1.0,0.268,0.06632,0.01718,0.004,0.0008
Iran,0.11852,0.0558,0.01956,0.00621,0.00181,0.00038
Cape Verde,1.0,0.09577,0.02844,0.00657,0.00119,0.00018
DR Congo,1.0,0.15664,0.04332,0.00957,0.00165,0.00016
Curaçao,0.0,0.0,0.0,0.0,0.0,0.0
Czech Republic,0.0,0.0,0.0,0.0,0.0,0.0
Haiti,0.0,0.0,0.0,0.0,0.0,0.0
Iraq,0.0,0.0,0.0,0.0,0.0,0.0
Jordan,0.0,0.0,0.0,0.0,0.0,0.0
New Zealand,0.0,0.0,0.0,0.0,0.0,0.0
Panama,0.0,0.0,0.0,0.0,0.0,0.0
Qatar,0.0,0.0,0.0,0.0,0.0,0.0
Saudi Arabia,0.0,0.0,0.0,0.0,0.0,0.0
Scotland,0.0,0.0,0.0,0.0,0.0,0.0
South Korea,0.0,0.0,0.0,0.0,0.0,0.0
Tunisia,0.0,0.0,0.0,0.0,0.0,0.0
Turkey,0.0,0.0,0.0,0.0,0.0,0.0
Uruguay,0.0,0.0,0.0,0.0,0.0,0.0
Uzbekistan,0.0,0.0,0.0,0.0,0.0,0.0
