team,p_r32,p_r16,p_qf,p_sf,p_final,p_champion
Brazil,1.0,0.74896,0.59747,0.41879,0.26536,0.17279
Argentina,1.0,0.81855,0.59013,0.39779,0.23678,0.14044
Spain,1.0,0.73677,0.50423,0.36548,0.22715,0.13075
France,1.0,0.74606,0.42132,0.26762,0.14992,0.07668
Germany,1.0,0.791,0.44948,0.28584,0.15497,0.07286
England,0.99743,0.7165,0.48168,0.25961,0.13418,0.07052
Colombia,0.99336,0.68509,0.44636,0.23352,0.11905,0.06058
Belgium,0.95437,0.69567,0.38206,0.20659,0.10752,0.05226
Portugal,0.88695,0.5962,0.35335,0.2006,0.10535,0.05151
Netherlands,1.0,0.5196,0.36417,0.18255,0.09104,0.04073
Uruguay,0.55544,0.31323,0.18422,0.09616,0.04515,0.01929
Switzerland,1.0,0.61855,0.27483,0.10266,0.04095,0.01452
Croatia,0.78745,0.37147,0.17397,0.08249,0.03387,0.01266
Morocco,1.0,0.43709,0.24462,0.0926,0.03508,0.01195
United States,1.0,0.60564,0.25326,0.09108,0.03478,0.01053
Mexico,1.0,0.62008,0.23612,0.08256,0.02788,0.00889
Sweden,0.97198,0.39964,0.18279,0.06391,0.02276,0.00741
Japan,1.0,0.35844,0.16509,0.05556,0.01793,0.00511
Austria,0.95127,0.3027,0.12912,0.05127,0.01775,0.00503
Norway,1.0,0.53034,0.14956,0.05522,0.01669,0.00491
Iran,0.72053,0.33598,0.12162,0.04218,0.01376,0.0043
Egypt,0.99999,0.43981,0.1699,0.04812,0.01372,0.00371
Ivory Coast,0.97822,0.42704,0.1122,0.03729,0.01041,0.00286
Ecuador,0.23754,0.11039,0.05404,0.02072,0.00769,0.00279
Senegal,0.49269,0.20367,0.09251,0.02867,0.00958,0.00276
South Korea,0.89858,0.3793,0.128,0.03286,0.00911,0.00226
Paraguay,0.78222,0.24483,0.06994,0.02473,0.0074,0.00203
Algeria,0.78202,0.25526,0.0992,0.02827,0.00768,0.00186
Australia,0.90206,0.30133,0.0738,0.02577,0.00713,0.0017
Scotland,0.75041,0.21293,0.06661,0.01921,0.0051,0.00115
Ghana,0.84253,0.24114,0.07697,0.02077,0.00494,0.00111
Canada,1.0,0.45616,0.12075,0.02483,0.00582,0.0011
Czech Republic,0.26011,0.11265,0.04572,0.0131,0.00405,0.00107
Bosnia and Herzegovina,0.54,0.14829,0.05059,0.01319,0.00335,0.00058
Turkey,0.13675,0.03844,0.014,0.00488,0.00167,0.00048
South Africa,0.27252,0.09885,0.02768,0.00573,0.00132,0.00033
DR Congo,0.47415,0.10801,0.02572,0.00554,0.0009,0.00015
Uzbekistan,0.29335,0.06477,0.01657,0.00327,0.00068,0.00012
Cape Verde,0.67414,0.08732,0.02286,0.00457,0.00075,0.00009
Panama,0.1336,0.02666,0.00718,0.00121,0.00026,0.00006
Saudi Arabia,0.3314,0.03808,0.00969,0.00198,0.00033,0.00006
Qatar,0.20617,0.02787,0.00556,0.00066,0.00013,0.00001
Curaçao,0.06032,0.00451,0.00028,0.00001,0.0,0.0
Haiti,0.01587,0.00133,0.00014,0.00001,0.0,0.0
Iraq,0.05388,0.0108,0.00275,0.00026,0.00002,0.0
Jordan,0.01678,0.00339,0.00084,0.00008,0.00002,0.0
New Zealand,0.04592,0.00961,0.00105,0.00019,0.00002,0.0
Tunisia,0.0,0.0,0.0,0.0,0.0,0.0
