team,p_r32,p_r16,p_qf,p_sf,p_final,p_champion
Brazil,0.99086,0.75351,0.58604,0.4177,0.26991,0.17641
Argentina,0.99918,0.67977,0.5131,0.34532,0.20852,0.12659
Spain,0.93854,0.63687,0.43946,0.3058,0.19287,0.11257
France,0.99785,0.72374,0.42927,0.27821,0.15378,0.07938
Germany,0.99881,0.74815,0.42604,0.27017,0.14655,0.07249
England,0.94653,0.62913,0.40925,0.22342,0.11963,0.06207
Colombia,0.94056,0.62897,0.39684,0.21979,0.11793,0.06046
Belgium,0.95386,0.69841,0.45186,0.23358,0.12552,0.06005
Portugal,0.94699,0.63854,0.40335,0.22049,0.11532,0.05769
Netherlands,0.87448,0.46643,0.30826,0.1616,0.07911,0.0358
Uruguay,0.82751,0.42766,0.25019,0.13762,0.06813,0.03036
Croatia,0.85579,0.44247,0.22612,0.10178,0.04306,0.01651
Morocco,0.88935,0.40127,0.21675,0.09045,0.03521,0.01279
Switzerland,0.82049,0.47944,0.21517,0.08531,0.03386,0.01249
Ecuador,0.83452,0.42113,0.19644,0.07766,0.0307,0.01158
Sweden,0.96643,0.41263,0.21625,0.08392,0.0305,0.00951
Mexico,0.98166,0.58267,0.2401,0.08215,0.02836,0.00939
United States,0.97788,0.5338,0.17831,0.06636,0.02532,0.00795
Austria,0.94244,0.3392,0.14229,0.05696,0.01965,0.0055
Japan,0.71515,0.27101,0.12347,0.04394,0.01491,0.00442
Norway,0.96533,0.4423,0.14779,0.05536,0.01667,0.00433
Senegal,0.62634,0.28466,0.10725,0.03811,0.01294,0.00407
Ivory Coast,0.9838,0.4402,0.13331,0.04899,0.01438,0.00403
Iran,0.57267,0.28409,0.10413,0.03495,0.0117,0.00346
Egypt,0.79714,0.37315,0.12122,0.0379,0.01088,0.00308
Australia,0.93861,0.41125,0.12518,0.03808,0.01075,0.00273
South Korea,0.91857,0.4194,0.14147,0.03953,0.01051,0.00243
Scotland,0.81988,0.26091,0.10385,0.0314,0.00853,0.00201
Turkey,0.42881,0.17002,0.05904,0.02203,0.00718,0.00187
Czech Republic,0.48618,0.2077,0.07998,0.02536,0.00758,0.00176
Algeria,0.53955,0.18313,0.06918,0.02031,0.00562,0.00135
Paraguay,0.37678,0.14256,0.04542,0.01644,0.0045,0.00118
Bosnia and Herzegovina,0.69437,0.28661,0.08561,0.022,0.0055,0.00106
Ghana,0.51356,0.14907,0.05057,0.01322,0.00359,0.00077
Canada,0.73515,0.29173,0.07623,0.01729,0.00377,0.0007
South Africa,0.30396,0.10388,0.03114,0.0079,0.00169,0.00031
Tunisia,0.18285,0.058,0.01947,0.00529,0.00122,0.00027
Uzbekistan,0.35194,0.08651,0.0232,0.00499,0.00101,0.00014
DR Congo,0.32582,0.0785,0.02031,0.004,0.00065,0.00013
Cape Verde,0.46397,0.08491,0.0215,0.0041,0.00067,0.00009
Saudi Arabia,0.40526,0.07346,0.01753,0.00317,0.0007,0.00009
Panama,0.30917,0.06287,0.01626,0.00295,0.00045,0.00006
Qatar,0.40927,0.10177,0.01746,0.00237,0.00037,0.00005
Jordan,0.10028,0.01967,0.00419,0.00065,0.00013,0.00002
Curaçao,0.01648,0.00112,0.00007,0.00001,0.0,0.0
Haiti,0.04485,0.00502,0.00068,0.00013,0.00003,0.0
Iraq,0.08275,0.01912,0.00353,0.00057,0.00011,0.0
New Zealand,0.20778,0.04359,0.00587,0.00067,0.00003,0.0
