team,p_r32,p_r16,p_qf,p_sf,p_final,p_champion
Brazil,0.98862,0.74142,0.57228,0.40599,0.26124,0.16762
Spain,0.98475,0.69138,0.47498,0.3289,0.2082,0.12337
Argentina,0.98077,0.61498,0.45597,0.30755,0.18654,0.11158
Germany,0.99914,0.75822,0.45536,0.29258,0.15857,0.08113
France,0.95807,0.68931,0.40523,0.25802,0.14239,0.07387
England,0.94921,0.63575,0.4122,0.22798,0.12403,0.06531
Belgium,0.97106,0.71895,0.47703,0.24437,0.13262,0.06513
Portugal,0.94819,0.64008,0.40127,0.22233,0.11788,0.05839
Colombia,0.93788,0.61863,0.37738,0.20726,0.1103,0.05508
Uruguay,0.93287,0.48859,0.29357,0.16103,0.07883,0.03558
Netherlands,0.87862,0.47141,0.31198,0.1644,0.08006,0.03549
Croatia,0.86153,0.4508,0.22653,0.10184,0.04307,0.01711
Switzerland,0.82004,0.48643,0.22108,0.0879,0.03515,0.01331
Ecuador,0.83377,0.41812,0.19365,0.07869,0.03181,0.01201
Morocco,0.88585,0.40499,0.21522,0.08974,0.03331,0.01128
Sweden,0.96937,0.41838,0.21928,0.08436,0.02971,0.00982
Mexico,0.98376,0.5858,0.23957,0.08551,0.02927,0.00935
United States,0.97986,0.5416,0.17952,0.06499,0.02473,0.00803
Austria,0.77847,0.26877,0.12006,0.04643,0.01611,0.00509
Senegal,0.71667,0.33003,0.11755,0.04363,0.01419,0.00455
Iran,0.77484,0.38808,0.13933,0.0471,0.01599,0.00445
Japan,0.71446,0.2716,0.12355,0.04415,0.01506,0.00409
Ivory Coast,0.98228,0.43581,0.13255,0.04719,0.01398,0.00387
Norway,0.71369,0.32737,0.11434,0.04208,0.01298,0.00385
Australia,0.93995,0.41054,0.12441,0.03842,0.01112,0.00279
South Korea,0.92199,0.4181,0.13886,0.03946,0.01047,0.0026
Czech Republic,0.50155,0.21051,0.08326,0.02694,0.00814,0.00223
Scotland,0.8315,0.27978,0.11172,0.03524,0.00951,0.00217
Egypt,0.69588,0.30977,0.09682,0.0283,0.00791,0.00215
Turkey,0.42783,0.17306,0.06109,0.02334,0.00696,0.00191
Paraguay,0.37608,0.14411,0.04783,0.01715,0.00509,0.00163
Algeria,0.63811,0.18297,0.06665,0.01953,0.00566,0.0013
Bosnia and Herzegovina,0.68972,0.28599,0.08639,0.02224,0.00545,0.00108
Canada,0.7511,0.31223,0.08502,0.01975,0.00448,0.00093
Ghana,0.49619,0.14145,0.04519,0.01198,0.00279,0.00072
South Africa,0.2897,0.09176,0.02631,0.00629,0.00145,0.00032
Uzbekistan,0.36439,0.092,0.0242,0.00531,0.00105,0.00021
Tunisia,0.17263,0.05316,0.01685,0.00422,0.00084,0.0002
DR Congo,0.3198,0.07684,0.01927,0.00404,0.00083,0.00013
Panama,0.31963,0.06852,0.01764,0.00328,0.00057,0.00008
Cape Verde,0.27939,0.05229,0.01306,0.00209,0.0004,0.00006
Qatar,0.40374,0.10019,0.01718,0.00245,0.00035,0.00005
Saudi Arabia,0.29383,0.05444,0.01338,0.00235,0.00039,0.00005
Jordan,0.22409,0.03557,0.00774,0.00106,0.00018,0.00002
Iraq,0.26043,0.06129,0.01137,0.0019,0.00023,0.00001
Curaçao,0.01742,0.00124,0.00007,0.0,0.0,0.0
Haiti,0.0485,0.00578,0.00085,0.00006,0.0,0.0
New Zealand,0.19278,0.04191,0.00536,0.00058,0.00011,0.0
