team,p_r32,p_r16,p_qf,p_sf,p_final,p_champion
Argentina,1.0,0.90502,0.73395,0.48296,0.32865,0.1786
Brazil,1.0,0.67839,0.60099,0.38988,0.25041,0.1641
Spain,1.0,0.7942,0.51294,0.35471,0.19727,0.12166
England,1.0,0.85651,0.57261,0.40347,0.21074,0.09937
Colombia,1.0,0.77574,0.50668,0.26059,0.15768,0.07383
France,1.0,0.76206,0.44779,0.22464,0.12018,0.06598
Belgium,1.0,0.707,0.53758,0.2507,0.11349,0.05887
Germany,1.0,0.82456,0.43939,0.20641,0.10489,0.05526
Portugal,1.0,0.6217,0.2864,0.17327,0.07847,0.041
Netherlands,1.0,0.32161,0.25896,0.12326,0.05816,0.02818
Morocco,1.0,0.5457,0.31419,0.1337,0.05006,0.01627
Switzerland,1.0,0.55234,0.24275,0.09337,0.04434,0.01414
Ecuador,1.0,0.43813,0.17749,0.0993,0.03656,0.01162
Mexico,1.0,0.56187,0.21061,0.11074,0.03779,0.0111
Croatia,1.0,0.3783,0.13251,0.06349,0.02101,0.00879
Japan,1.0,0.4543,0.24124,0.08826,0.02709,0.00747
United States,1.0,0.61224,0.18941,0.06049,0.01892,0.00675
Sweden,1.0,0.44766,0.17507,0.05911,0.02465,0.00664
Norway,1.0,0.51884,0.23548,0.08209,0.02389,0.00584
Ivory Coast,1.0,0.48116,0.20909,0.06995,0.02077,0.00499
Senegal,1.0,0.293,0.16033,0.04582,0.01242,0.00424
Egypt,1.0,0.4987,0.11934,0.04001,0.01443,0.00334
Australia,1.0,0.5013,0.11497,0.03894,0.01393,0.00318
Austria,1.0,0.2058,0.06815,0.02731,0.00703,0.00234
Paraguay,1.0,0.23794,0.07071,0.01835,0.00524,0.00159
Algeria,1.0,0.38776,0.11268,0.02421,0.00489,0.00143
Ghana,1.0,0.22426,0.0755,0.01815,0.00586,0.00111
Canada,1.0,0.51884,0.07002,0.01478,0.00308,0.00079
South Africa,1.0,0.48116,0.07003,0.01427,0.00293,0.00063
Bosnia and Herzegovina,1.0,0.17544,0.04211,0.00841,0.00161,0.00051
DR Congo,1.0,0.14349,0.03929,0.01249,0.00202,0.0002
Cape Verde,1.0,0.09498,0.03174,0.00687,0.00154,0.00018
Curaçao,0.0,0.0,0.0,0.0,0.0,0.0
Czech Republic,0.0,0.0,0.0,0.0,0.0,0.0
Haiti,0.0,0.0,0.0,0.0,0.0,0.0
Iran,0.0,0.0,0.0,0.0,0.0,0.0
Iraq,0.0,0.0,0.0,0.0,0.0,0.0
Jordan,0.0,0.0,0.0,0.0,0.0,0.0
New Zealand,0.0,0.0,0.0,0.0,0.0,0.0
Panama,0.0,0.0,0.0,0.0,0.0,0.0
Qatar,0.0,0.0,0.0,0.0,0.0,0.0
Saudi Arabia,0.0,0.0,0.0,0.0,0.0,0.0
Scotland,0.0,0.0,0.0,0.0,0.0,0.0
South Korea,0.0,0.0,0.0,0.0,0.0,0.0
Tunisia,0.0,0.0,0.0,0.0,0.0,0.0
Turkey,0.0,0.0,0.0,0.0,0.0,0.0
Uruguay,0.0,0.0,0.0,0.0,0.0,0.0
Uzbekistan,0.0,0.0,0.0,0.0,0.0,0.0
