team,p_r32,p_r16,p_qf,p_sf,p_final,p_champion
Brazil,1.0,0.74911,0.59165,0.41395,0.26747,0.17356
Argentina,0.99942,0.7734,0.55525,0.3759,0.22288,0.13396
Spain,0.99999,0.71068,0.48703,0.35085,0.21924,0.12647
Germany,1.0,0.79485,0.4651,0.29233,0.15916,0.0754
France,0.99842,0.74053,0.41361,0.26163,0.14478,0.07481
England,0.99738,0.7157,0.48243,0.25832,0.13772,0.07181
Colombia,0.99326,0.68941,0.44376,0.23877,0.12505,0.06356
Belgium,0.95761,0.69977,0.40182,0.21863,0.11232,0.05526
Portugal,0.88813,0.59704,0.34884,0.19919,0.10311,0.05039
Netherlands,1.0,0.51757,0.3613,0.18253,0.09045,0.04014
Uruguay,0.56034,0.31028,0.18419,0.09491,0.04539,0.02022
Switzerland,1.0,0.62114,0.27491,0.10682,0.04225,0.01524
Croatia,0.78058,0.36519,0.168,0.08128,0.03401,0.01256
Morocco,0.99999,0.43823,0.24383,0.09504,0.03581,0.01182
United States,1.0,0.61219,0.25598,0.08972,0.03408,0.01083
Mexico,1.0,0.61693,0.23416,0.08083,0.02772,0.00891
Sweden,0.96362,0.39732,0.18165,0.06439,0.0226,0.00736
Austria,0.962,0.34872,0.15204,0.06142,0.0205,0.00585
Norway,0.97979,0.48975,0.15667,0.05671,0.01744,0.00517
Japan,1.0,0.35615,0.16178,0.0536,0.01755,0.00497
Senegal,0.6511,0.30299,0.11495,0.03928,0.01348,0.00424
Iran,0.71415,0.33632,0.12416,0.04257,0.01346,0.00393
Egypt,0.99996,0.44902,0.17663,0.05113,0.01494,0.00349
Ecuador,0.24253,0.11382,0.05638,0.02098,0.00817,0.00305
Ivory Coast,0.97553,0.41693,0.1106,0.03811,0.01057,0.00274
Paraguay,0.78087,0.25455,0.07784,0.02782,0.00829,0.00214
South Korea,0.88736,0.36617,0.12111,0.03162,0.00826,0.0021
Australia,0.88851,0.29646,0.08157,0.02767,0.00766,0.00193
Algeria,0.56794,0.18603,0.07191,0.02113,0.00595,0.00149
Canada,1.0,0.4608,0.12266,0.02675,0.00632,0.00136
Scotland,0.72766,0.20849,0.06598,0.01904,0.00503,0.00124
Ghana,0.8352,0.2398,0.07486,0.02042,0.0051,0.00116
Czech Republic,0.26272,0.11301,0.04634,0.01305,0.00374,0.0009
Bosnia and Herzegovina,0.54784,0.14945,0.05106,0.01345,0.00349,0.00063
Turkey,0.13104,0.03837,0.0141,0.00534,0.00147,0.0005
South Africa,0.27765,0.0987,0.02753,0.00578,0.00146,0.0003
DR Congo,0.4832,0.10861,0.02481,0.00469,0.00072,0.00015
Cape Verde,0.67464,0.1031,0.0267,0.0056,0.00084,0.00013
Uzbekistan,0.2793,0.06092,0.0141,0.0032,0.00072,0.00012
Saudi Arabia,0.32847,0.04355,0.01079,0.0021,0.00021,0.00004
Jordan,0.11685,0.02242,0.00514,0.00052,0.00009,0.00002
Panama,0.13408,0.02622,0.0065,0.00144,0.00025,0.00002
Qatar,0.19905,0.02585,0.00502,0.0007,0.00007,0.00002
Iraq,0.09239,0.01932,0.00411,0.00066,0.00017,0.00001
Curaçao,0.06358,0.00492,0.0002,0.00001,0.0,0.0
Haiti,0.01629,0.00147,0.00011,0.0,0.0,0.0
New Zealand,0.04155,0.00875,0.00084,0.00012,0.00001,0.0
Tunisia,0.00001,0.0,0.0,0.0,0.0,0.0
