team,p_r32,p_r16,p_qf,p_sf,p_final,p_champion
Brazil,0.99083,0.75257,0.58464,0.4076,0.26373,0.17308
Argentina,0.99926,0.67712,0.51465,0.34532,0.20717,0.12638
Spain,0.94233,0.64158,0.44986,0.31196,0.19494,0.11433
France,0.9976,0.72431,0.43435,0.27708,0.15589,0.07844
Germany,0.99858,0.76047,0.43541,0.27498,0.14659,0.07207
England,0.99699,0.71381,0.47879,0.25549,0.13426,0.07089
Colombia,0.99024,0.68874,0.44853,0.24119,0.12711,0.06574
Belgium,0.95527,0.69286,0.45229,0.2377,0.12865,0.06144
Portugal,0.88207,0.58929,0.35194,0.19799,0.10531,0.05166
Netherlands,0.87794,0.46808,0.30328,0.15698,0.07704,0.0353
Uruguay,0.82997,0.4255,0.2569,0.14174,0.0691,0.03017
Switzerland,1.0,0.62191,0.28153,0.11283,0.04427,0.01604
Croatia,0.77442,0.36257,0.17045,0.07957,0.03413,0.01301
Ecuador,0.8385,0.40209,0.1861,0.07415,0.02964,0.01075
Morocco,0.88867,0.39877,0.2072,0.08414,0.03226,0.01073
Sweden,0.96671,0.40889,0.21162,0.0804,0.02887,0.00894
Mexico,1.0,0.60747,0.22777,0.07764,0.02658,0.00875
United States,0.97801,0.53862,0.17781,0.06623,0.02443,0.00754
Austria,0.94623,0.34354,0.14913,0.05989,0.02054,0.00626
Norway,0.9667,0.44055,0.14605,0.05393,0.01714,0.00467
Japan,0.71193,0.26299,0.11674,0.0406,0.01375,0.00405
Senegal,0.63176,0.28107,0.1053,0.03715,0.01283,0.00384
Iran,0.57132,0.27903,0.10252,0.03505,0.01131,0.00344
Ivory Coast,0.98477,0.43802,0.13109,0.04724,0.01383,0.00339
Australia,0.9398,0.41575,0.12402,0.03812,0.01085,0.00274
Egypt,0.79797,0.36607,0.11737,0.03629,0.01018,0.0026
Scotland,0.83626,0.26375,0.10092,0.02983,0.00833,0.00211
South Korea,0.86108,0.35581,0.11918,0.03292,0.00873,0.00183
Turkey,0.43956,0.17429,0.05854,0.02216,0.00678,0.00179
Paraguay,0.3792,0.14091,0.04543,0.01573,0.0046,0.00146
Algeria,0.54603,0.18389,0.06715,0.01994,0.00593,0.00143
Canada,1.0,0.45554,0.12369,0.02867,0.00644,0.00128
Ghana,0.8094,0.232,0.07485,0.02033,0.00497,0.00108
Czech Republic,0.26502,0.10882,0.04286,0.01317,0.00436,0.00107
Bosnia and Herzegovina,0.54172,0.17049,0.05212,0.01507,0.0035,0.00066
South Africa,0.27799,0.09891,0.0283,0.00713,0.00169,0.00027
Tunisia,0.1896,0.05777,0.01882,0.00504,0.00116,0.00027
DR Congo,0.4741,0.10735,0.02606,0.00526,0.0008,0.00012
Uzbekistan,0.26073,0.05839,0.01477,0.00305,0.00069,0.00012
Cape Verde,0.46817,0.07922,0.02038,0.00386,0.00069,0.00011
Saudi Arabia,0.40229,0.06816,0.01669,0.00292,0.00047,0.00011
New Zealand,0.21255,0.04257,0.00544,0.00073,0.0001,0.00003
Panama,0.12066,0.02271,0.00558,0.00096,0.00008,0.00001
Curaçao,0.01765,0.00094,0.00007,0.00001,0.0,0.0
Haiti,0.04813,0.00442,0.0006,0.00011,0.00002,0.0
Iraq,0.08816,0.01879,0.00383,0.00058,0.00013,0.0
Jordan,0.10392,0.01976,0.00379,0.00036,0.00006,0.0
Qatar,0.19991,0.03384,0.00559,0.00091,0.00007,0.0
